date,temperature_2m,rain,surface_pressure
2024-04-12 00:00:00+00:00,6.6595,0.0,1002.7093
2024-04-12 01:00:00+00:00,6.0095,0.0,1002.5394
2024-04-12 02:00:00+00:00,5.7095003,0.0,1002.6025
2024-04-12 03:00:00+00:00,7.5595,0.0,1002.3255
2024-04-12 04:00:00+00:00,6.6095,0.0,1002.41296
2024-04-12 05:00:00+00:00,5.9095,0.0,1002.2375
2024-04-12 06:00:00+00:00,8.6095,0.0,1002.92676
2024-04-12 07:00:00+00:00,12.5095005,0.0,1002.9648
2024-04-12 08:00:00+00:00,14.4595,0.0,1003.27026
2024-04-12 09:00:00+00:00,16.8095,0.0,1002.4511
2024-04-12 10:00:00+00:00,17.8095,0.0,1002.846
2024-04-12 11:00:00+00:00,18.9095,0.0,1001.9897
2024-04-12 12:00:00+00:00,19.6095,0.0,1001.9644
2024-04-12 13:00:00+00:00,20.1595,0.0,1001.7293
2024-04-12 14:00:00+00:00,20.3595,0.0,1000.6823
2024-04-12 15:00:00+00:00,20.7595,0.0,1000.0437
2024-04-12 16:00:00+00:00,20.8095,0.0,999.95166
2024-04-12 17:00:00+00:00,19.9095,0.0,999.181
2024-04-12 18:00:00+00:00,18.8595,0.0,999.4614
2024-04-12 19:00:00+00:00,16.0095,0.0,999.6508
2024-04-12 20:00:00+00:00,12.9595,0.0,999.8129
2024-04-12 21:00:00+00:00,12.0095005,0.0,999.90466
2024-04-12 22:00:00+00:00,11.2595005,0.0,999.8237
2024-04-12 23:00:00+00:00,11.2095,0.0,999.8183
2024-04-13 00:00:00+00:00,11.0595,0.0,999.5112
2024-04-13 01:00:00+00:00,10.7095,0.0,999.2795
2024-04-13 02:00:00+00:00,10.7595005,0.0,999.38184
2024-04-13 03:00:00+00:00,11.2095,0.0,999.33356
2024-04-13 04:00:00+00:00,10.9095,0.0,998.91345
2024-04-13 05:00:00+00:00,10.2595005,0.0,998.8426
2024-04-13 06:00:00+00:00,11.3095,0.0,999.05347
2024-04-13 07:00:00+00:00,15.8095,0.0,999.04803
2024-04-13 08:00:00+00:00,18.4095,0.0,999.1241
2024-04-13 09:00:00+00:00,19.9595,0.0,998.6037
2024-04-13 10:00:00+00:00,21.2595,0.0,998.1532
2024-04-13 11:00:00+00:00,22.3595,0.0,997.48706
2024-04-13 12:00:00+00:00,23.2095,0.0,996.8924
2024-04-13 13:00:00+00:00,23.8595,0.0,996.0833
2024-04-13 14:00:00+00:00,24.2095,0.0,995.1469
2024-04-13 15:00:00+00:00,24.6095,0.0,994.40967
2024-04-13 16:00:00+00:00,25.1095,0.0,993.9734
2024-04-13 17:00:00+00:00,23.9095,0.0,993.5641
2024-04-13 18:00:00+00:00,21.6595,0.0,993.2433
2024-04-13 19:00:00+00:00,16.7095,0.0,992.9333
2024-04-13 20:00:00+00:00,15.6095,0.0,992.72186
2024-04-13 21:00:00+00:00,14.7595005,0.0,992.53595
2024-04-13 22:00:00+00:00,14.7595005,0.0,992.342
2024-04-13 23:00:00+00:00,16.109499,0.0,992.09503
